iter	Accuracy	MultiClass
0	0.8002107799	1.308724914
1	0.820234869	1.235852414
2	0.8227943391	1.172822973
3	0.8274616079	1.115382738
4	0.8289671786	1.067125642
5	0.8355916893	1.019826389
6	0.8319783198	0.9780417998
7	0.8327311051	0.9411184638
8	0.8383017164	0.9055254634
9	0.837548931	0.8749298208
10	0.8419150858	0.84563802
11	0.8431195423	0.8170912571
12	0.847184583	0.7911584806
13	0.8503462812	0.7659146626
14	0.854561879	0.7431871815
15	0.8578741343	0.7219990658
16	0.8617886179	0.7027388966
17	0.8631436314	0.6839888502
18	0.8607347185	0.6663575563
19	0.8625414032	0.6494502568
20	0.8640469738	0.6338403647
21	0.8626919603	0.619944048
22	0.8655525444	0.6061323521
23	0.8657031015	0.5932017384
24	0.8667570009	0.580895522
25	0.8687142427	0.5685385537
26	0.8691659139	0.5580956463
27	0.8705209274	0.5481752509
28	0.8703703704	0.5384050401
29	0.8712737127	0.5290615492
30	0.872026498	0.5198184389
31	0.8727792833	0.5119429648
32	0.8736826257	0.5036263487
33	0.8750376393	0.4959275096
34	0.8748870822	0.4890297027
35	0.8753387534	0.481980184
36	0.8753387534	0.4758582234
37	0.8769948811	0.4700060374
38	0.8775971093	0.4643318708
39	0.8774465522	0.4585901289
40	0.8783498946	0.4530355531
41	0.8785004517	0.4479249041
42	0.8797049082	0.4426829584
43	0.8786510087	0.4377071547
44	0.879403794	0.4324893798
45	0.8791026799	0.4280817218
46	0.879253237	0.4238612106
47	0.8798554652	0.4197858565
48	0.8804576935	0.4156749644
49	0.8812104788	0.412076821
50	0.8810599217	0.4083918088
51	0.8812104788	0.4051552326
52	0.881812707	0.4021777786
53	0.8812104788	0.3989551693
54	0.8824149353	0.3956752783
55	0.8824149353	0.3930064614
56	0.8830171635	0.3903435374
57	0.8830171635	0.3876748954
58	0.8830171635	0.3847094285
59	0.8837699488	0.3823287504
60	0.8834688347	0.3797696894
61	0.8831677206	0.377321183
62	0.8839205059	0.3749037637
63	0.8840710629	0.3731305891
64	0.8833182776	0.3710707687
65	0.8840710629	0.3686892879
66	0.8851249624	0.3668864403
67	0.8852755194	0.3650139775
68	0.8855766335	0.3632550866
69	0.8849744053	0.3616788991
70	0.8869316471	0.3598408658
71	0.88678109	0.3580821985
72	0.8873833183	0.3565574702
73	0.88678109	0.3551319844
74	0.8869316471	0.3535854213
75	0.8869316471	0.3523996288
76	0.8869316471	0.3507538331
77	0.8875338753	0.3496141262
78	0.8882866606	0.3481340384
79	0.8881361036	0.3469043039
80	0.8882866606	0.3456659476
81	0.8882866606	0.3444999035
82	0.8884372177	0.3435064106
83	0.8882866606	0.3423814317
84	0.8888888889	0.3410658919
85	0.8893405601	0.3397100626
86	0.8900933454	0.3387896905
87	0.8903944595	0.3378098651
88	0.8906955736	0.3366875477
89	0.8902439024	0.335738055
90	0.8903944595	0.3346306557
91	0.8908461307	0.3333959279
92	0.8911472448	0.3326211537
93	0.8906955736	0.3312614454
94	0.8902439024	0.3302560301
95	0.8909966877	0.3290741547
96	0.891598916	0.3283029132
97	0.8917494731	0.3275507673
98	0.8920505872	0.3267539131
99	0.8922011442	0.3260133339
100	0.8919000301	0.3251926937
101	0.8929539295	0.3244835887
102	0.8934056007	0.323448298
103	0.8932550437	0.3228101655
104	0.8937067148	0.3220168152
105	0.8938572719	0.3213214897
106	0.8943089431	0.3206854455
107	0.894158386	0.3199953924
108	0.894158386	0.319091993
109	0.8944595002	0.3182863947
110	0.8943089431	0.3174704058
111	0.8937067148	0.3165813564
112	0.8943089431	0.3159722095
113	0.8943089431	0.3150770341
114	0.894158386	0.3140968294
115	0.8938572719	0.3134694692
116	0.894007829	0.312786735
117	0.8946100572	0.3122280919
118	0.8949111713	0.3115864865
119	0.8947606143	0.3110782373
120	0.8950617284	0.3102906341
121	0.8955133996	0.3093821347
122	0.8959650708	0.3088890064
123	0.8962661849	0.3083943123
124	0.8968684131	0.3077393863
125	0.8970189702	0.3071038833
126	0.8967178561	0.3064904279
127	0.8973200843	0.3057522314
128	0.8971695273	0.3050842955
129	0.8976211984	0.3045854948
130	0.8979223126	0.3039095359
131	0.8980728696	0.3033736334
132	0.8982234267	0.3028982807
133	0.8985245408	0.3020286497
134	0.8988256549	0.3014095147
135	0.899126769	0.3006981915
136	0.8992773261	0.3003865843
137	0.8997289973	0.2996061142
138	0.8997289973	0.2989025449
139	0.8997289973	0.2981493852
140	0.9001806685	0.2976622292
