iter	Passed	Remaining
0	7	3681
1	12	3084
2	17	2865
3	23	2894
4	30	3027
5	35	2931
6	40	2858
7	47	2892
8	52	2875
9	55	2706
10	65	2897
11	72	2961
12	77	2896
13	82	2876
14	87	2839
15	92	2789
16	99	2824
17	105	2814
18	110	2786
19	116	2789
20	126	2882
21	132	2882
22	139	2898
23	145	2877
24	151	2880
25	162	2954
26	166	2917
27	171	2896
28	177	2883
29	183	2877
30	189	2860
31	195	2854
32	199	2830
33	206	2824
34	210	2802
35	218	2817
36	224	2808
37	243	2959
38	250	2957
39	254	2924
40	258	2888
41	264	2889
42	275	2932
43	281	2918
44	286	2901
45	292	2883
46	296	2853
47	301	2836
48	306	2820
49	315	2835
50	317	2794
51	322	2776
52	328	2766
53	337	2790
54	341	2761
55	345	2739
56	352	2738
57	357	2722
58	362	2712
59	368	2703
60	374	2694
61	380	2691
62	385	2676
63	394	2685
64	401	2685
65	408	2684
66	414	2677
67	426	2708
68	431	2694
69	439	2699
70	444	2683
71	451	2683
72	460	2693
73	467	2690
74	475	2693
75	482	2692
76	489	2691
77	495	2680
78	501	2670
79	507	2662
80	514	2661
81	518	2644
82	534	2685
83	539	2670
84	544	2658
85	548	2641
86	555	2636
87	561	2628
88	566	2616
89	572	2608
90	578	2599
91	583	2589
92	589	2578
93	594	2566
94	598	2551
95	604	2544
96	611	2539
97	617	2532
98	626	2539
99	632	2530
100	639	2524
101	645	2519
102	652	2513
103	659	2510
104	668	2513
105	673	2502
106	679	2494
107	685	2489
108	691	2480
109	696	2470
110	705	2471
111	710	2461
112	716	2453
113	726	2459
114	735	2460
115	739	2449
116	747	2447
117	753	2438
118	759	2430
119	766	2427
120	771	2417
121	779	2415
122	784	2403
123	788	2391
124	792	2377
125	801	2378
126	807	2371
127	812	2362
128	820	2358
129	826	2352
130	833	2348
131	842	2347
132	850	2346
133	859	2348
134	865	2339
135	872	2334
136	880	2332
137	885	2321
138	891	2315
139	896	2305
140	902	2296
141	907	2287
142	920	2297
143	927	2292
144	932	2283
145	939	2277
146	944	2268
147	949	2259
148	958	2257
149	962	2246
150	968	2238
151	975	2233
152	981	2226
153	988	2220
154	995	2215
155	1002	2209
156	1007	2201
157	1013	2194
158	1024	2196
159	1028	2186
160	1034	2177
161	1040	2171
162	1046	2163
163	1053	2158
164	1060	2152
165	1066	2145
166	1072	2138
167	1077	2128
168	1082	2120
169	1087	2110
170	1091	2100
171	1096	2090
172	1107	2092
173	1113	2085
174	1118	2077
175	1124	2070
176	1131	2064
177	1136	2055
178	1143	2050
179	1152	2048
180	1157	2039
181	1162	2031
182	1169	2026
183	1174	2017
184	1178	2007
185	1183	1997
186	1189	1991
187	1195	1984
188	1200	1975
189	1206	1968
190	1213	1963
191	1219	1955
192	1224	1947
193	1229	1938
194	1236	1933
195	1245	1931
196	1250	1923
197	1258	1920
198	1265	1913
199	1270	1906
200	1286	1913
201	1290	1904
202	1295	1896
203	1301	1887
204	1311	1887
205	1316	1879
206	1324	1874
207	1330	1868
208	1336	1861
209	1351	1866
210	1360	1863
211	1365	1855
212	1371	1848
213	1383	1849
214	1389	1841
215	1394	1833
216	1401	1827
217	1407	1820
218	1414	1814
219	1421	1809
220	1429	1804
221	1438	1801
222	1446	1797
223	1453	1790
224	1460	1784
225	1466	1777
226	1471	1769
227	1478	1763
228	1483	1755
229	1488	1746
230	1489	1734
231	1497	1729
232	1515	1736
233	1523	1732
234	1530	1725
235	1536	1718
236	1541	1710
237	1547	1703
238	1556	1699
239	1562	1692
240	1568	1685
241	1576	1681
242	1581	1672
243	1588	1666
244	1595	1660
245	1600	1652
246	1605	1644
247	1610	1636
248	1616	1629
249	1621	1621
250	1626	1613
251	1635	1609
252	1641	1602
253	1651	1599
254	1657	1592
255	1663	1585
256	1670	1579
257	1675	1571
258	1680	1563
259	1685	1555
260	1691	1549
261	1699	1544
262	1710	1541
263	1717	1535
264	1723	1528
265	1730	1522
266	1736	1515
267	1740	1507
268	1748	1501
269	1753	1494
270	1760	1487
271	1765	1479
272	1774	1475
273	1780	1468
274	1796	1469
275	1801	1461
276	1809	1456
277	1818	1452
278	1826	1447
279	1833	1440
280	1838	1433
281	1845	1426
282	1850	1419
283	1857	1412
284	1864	1406
285	1870	1399
286	1875	1392
287	1880	1384
288	1886	1377
289	1892	1370
290	1905	1368
291	1911	1361
292	1916	1353
293	1925	1349
294	1930	1341
295	1935	1334
296	1940	1326
297	1946	1319
298	1950	1311
299	1958	1305
300	1967	1300
301	1972	1292
302	1976	1284
303	1985	1280
304	1991	1273
305	1999	1267
306	2005	1260
307	2010	1253
308	2016	1246
309	2022	1239
310	2028	1232
311	2032	1224
312	2038	1218
313	2044	1210
314	2049	1203
315	2057	1197
316	2063	1190
317	2068	1183
318	2073	1176
319	2084	1172
320	2089	1165
321	2097	1159
322	2102	1152
323	2109	1145
324	2115	1138
325	2120	1131
326	2126	1124
327	2138	1121
328	2144	1114
329	2150	1107
330	2156	1101
331	2163	1095
332	2174	1090
333	2179	1083
334	2188	1077
335	2199	1073
336	2206	1067
337	2215	1061
338	2220	1054
339	2224	1046
340	2229	1039
341	2234	1032
342	2239	1025
343	2244	1018
344	2252	1011
345	2257	1004
346	2263	997
347	2271	991
348	2275	984
349	2281	977
350	2287	971
351	2293	964
352	2299	957
353	2304	950
354	2311	943
355	2315	936
356	2321	929
357	2326	922
358	2333	916
359	2339	909
360	2344	902
361	2351	896
362	2356	889
363	2368	884
364	2375	878
365	2380	871
366	2390	866
367	2395	859
368	2400	852
369	2415	848
370	2422	842
371	2426	834
372	2438	830
373	2444	823
374	2451	817
375	2457	810
376	2465	804
377	2472	798
378	2479	791
379	2484	784
380	2488	777
381	2493	770
382	2505	765
383	2510	758
384	2517	752
385	2523	745
386	2528	738
387	2535	731
388	2544	726
389	2550	719
390	2555	712
391	2563	706
392	2570	699
393	2575	692
394	2583	686
395	2587	679
396	2593	672
397	2602	666
398	2608	660
399	2615	653
400	2621	647
401	2626	640
402	2631	633
403	2639	627
404	2645	620
405	2651	613
406	2659	607
407	2663	600
408	2669	593
409	2674	587
410	2680	580
411	2686	573
412	2693	567
413	2705	561
414	2712	555
415	2717	548
416	2722	541
417	2727	535
418	2733	528
419	2740	522
420	2746	515
421	2751	508
422	2757	502
423	2766	495
424	2773	489
425	2779	482
426	2785	476
427	2791	469
428	2796	462
429	2802	456
430	2814	450
431	2822	444
432	2831	438
433	2837	431
434	2844	424
435	2850	418
436	2855	411
437	2861	405
438	2867	398
439	2873	391
440	2879	385
441	2887	378
442	2892	372
443	2898	365
444	2905	359
445	2911	352
446	2917	345
447	2923	339
448	2928	332
449	2933	325
450	2942	319
451	2947	313
452	2953	306
453	2958	299
454	2961	292
455	2968	286
456	2973	279
457	2989	274
458	2994	267
459	3001	260
460	3006	254
461	3012	247
462	3021	241
463	3026	234
464	3033	228
465	3038	221
466	3045	215
467	3050	208
468	3056	202
469	3061	195
470	3067	188
471	3073	182
472	3080	175
473	3085	169
474	3091	162
475	3102	156
476	3107	149
477	3112	143
478	3118	136
479	3124	130
480	3130	123
481	3136	117
482	3142	110
483	3149	104
484	3162	97
485	3168	91
486	3173	84
487	3178	78
488	3185	71
489	3191	65
490	3196	58
491	3203	52
492	3210	45
493	3219	39
494	3222	32
495	3227	26
496	3232	19
497	3238	13
498	3248	6
499	3255	0
