,precision,recall,f1-score,support
NC,0.0,0.0,0.0,20.0
D,0.037037037037037035,0.09090909090909091,0.05263157894736842,11.0
AARON RILEY,0.0,0.0,0.0,0.0
AARON ROSA,0.0,0.0,0.0,0.0
AARON SIMPSON,0.0,0.0,0.0,1.0
ABDUL RAZAK ALHASSAN,0.0,0.0,0.0,1.0
ABDUL-KERIM EDILOV,0.0,0.0,0.0,1.0
ABEL TRUJILLO,0.0,0.0,0.0,1.0
ABU AZAITAR,0.0,0.0,0.0,0.0
ABUBAKAR NURMAGOMEDOV,0.0,0.0,0.0,0.0
ABUS MAGOMEDOV,0.0,0.0,0.0,1.0
ADAM FUGITT,0.0,0.0,0.0,0.0
ADAM MILSTEAD,0.0,0.0,0.0,0.0
ADAM WIECZOREK,0.0,0.0,0.0,1.0
ADLAN AMAGOV,0.0,0.0,0.0,1.0
ADRIAN YANEZ,0.0,0.0,0.0,1.0
ADRIANO MARTINS,0.0,0.0,0.0,0.0
AIEMANN ZAHABI,0.0,0.0,0.0,1.0
AILIN PEREZ,0.0,0.0,0.0,1.0
AISLING DALY,0.0,0.0,0.0,2.0
AJ DOBSON,0.0,0.0,0.0,0.0
AJ FLETCHER,0.0,0.0,0.0,0.0
AKBARH ARREOLA,0.0,0.0,0.0,1.0
AKIHIRO GONO,0.0,0.0,0.0,0.0
AKIRA CORASSANI,0.0,0.0,0.0,0.0
AL IAQUINTA,0.0,0.0,0.0,2.0
ALAN BELCHER,0.0,0.0,0.0,4.0
ALAN JOUBAN,0.0,0.0,0.0,2.0
ALAN PATRICK,0.0,0.0,0.0,0.0
ALATENGHEILI,0.0,0.0,0.0,1.0
ALBERT DURAEV,0.0,0.0,0.0,0.0
ALBERT MORALES,0.0,0.0,0.0,0.0
ALBERT TUMENOV,0.0,0.0,0.0,0.0
ALBERTO MINA,0.0,0.0,0.0,0.0
ALEJANDRO PEREZ,0.0,0.0,0.0,2.0
ALEKSA CAMUR,0.0,0.0,0.0,0.0
ALEKSANDAR RAKIC,0.0,0.0,0.0,3.0
ALEKSANDRA ALBU,0.0,0.0,0.0,1.0
ALEKSANDRE TOPURIA,0.0,0.0,0.0,0.0
ALEKSEI KUNCHENKO,0.0,0.0,0.0,0.0
ALEKSEI OLEINIK,0.0,0.0,0.0,0.0
ALESSANDRO COSTA,0.0,0.0,0.0,0.0
ALESSIO DI CHIRICO,0.0,0.0,0.0,1.0
ALESSIO SAKARA,0.0,0.0,0.0,1.0
ALEX CACERES,0.0,0.0,0.0,3.0
ALEX CHAMBERS,0.0,0.0,0.0,0.0
ALEX DA SILVA,0.0,0.0,0.0,0.0
ALEX GARCIA,0.0,0.0,0.0,1.0
ALEX HUNTER,0.0,0.0,0.0,0.0
ALEX KARALEXIS,0.0,0.0,0.0,0.0
ALEX MORONO,0.0,0.0,0.0,2.0
ALEX NICHOLSON,0.0,0.0,0.0,0.0
ALEX OLIVEIRA,0.0,0.0,0.0,3.0
ALEX PEREIRA,0.0,0.0,0.0,3.0
ALEX PEREZ,0.0,0.0,0.0,1.0
ALEX WHITE,0.0,0.0,0.0,0.0
ALEXA GRASSO,0.0,0.0,0.0,0.0
ALEXANDER GUSTAFSSON,0.0,0.0,0.0,1.0
ALEXANDER HERNANDEZ,0.0,0.0,0.0,0.0
ALEXANDER MUNOZ,0.0,0.0,0.0,0.0
ALEXANDER VOLKANOVSKI,0.0,0.0,0.0,3.0
ALEXANDER VOLKOV,0.0,0.0,0.0,0.0
ALEXANDER YAKOVLEV,0.0,0.0,0.0,1.0
ALEXANDR ROMANOV,0.0,0.0,0.0,2.0
ALEXANDRE PANTOJA,0.0,0.0,0.0,5.0
ALEXIA THAINARA,0.0,0.0,0.0,0.0
ALEXIS DAVIS,0.0,0.0,0.0,0.0
ALI BAGAUTINOV,0.0,0.0,0.0,0.0
ALIASKHAB KHIZRIEV,0.0,0.0,0.0,0.0
ALICE ARDELEAN,0.0,0.0,0.0,1.0
