,survey_id,recordID,mo,dy,yr,period,plot_id,plot,note1,stake,species,scientificName,locality,JSON,decimalLatitude,decimalLongitude,county,state,country,sex,age,reprod,testes,vagina,pregnant,nipples,lactation,hfl,wgt,tag,note2,ltag,note3,prevrt,prevlet,nestdir,neststk,note4,note5,genus,species
0,491ec41b-0a80-4ce9-b754-2983c6f38e71,6545,9,18,1982,62.0,4dc16022-f28d-4b9d-9062-c7bc3ad43362,13,13.0,36.0,AB,AmphispizaAmphispiza bilineata,"Winterthur Gardens, Delaware",,,,,,UNITED STATES,,,,,,,,,,,,,,,,,,,,,AmphispizaAmphispiza,bilineata
1,f280bade-4e9b-447d-afe0-9e6d45e6bfb0,5220,1,24,1982,54.0,dcbbd373-c22e-46ef-ae8b-ad88f5cf7475,20,13.0,27.0,AB,AmphispizaAmphispiza bilineatabilineata,"Winterthur Gardens, Delaware",,,,,,UNITED STATES,,,,,,,,,,,,,,,,,,,,,AmphispizaAmphispiza,bilineatabilineata
2,2b1b4a8a-c3e9-4781-a5f9-18b081383876,18932,8,7,1991,162.0,1e87b11b-4795-4f41-bdff-2d5c4412be25,19,13.0,33.0,AS,Ammodramus savannarum,"FL; Highlands Co.; near parking area and nature trail at Archbold Biological Research Station, ca. 6 air mi S of Lake Placid. T38S, R30E, SE1/4 of SE1/4 Sec 7.",,,,,,UNITED STATES,,,,,,,,,,,,,,,,,,,,D,Ammodramus,savannarum
3,e98e66c4-514b-45f7-9d95-336c05a72b21,20588,1,24,1993,179.0,91829d58-c12e-47e8-ae31-185f46be21d2,12,13.0,41.0,AS,Ammodramus savannarum,"Swampy woodland, 2 miles E of Tallahassee.","{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 1,
""executionTimems"" : 1248.0022,
""resultSet"" : { ""type"": ""FeatureCollection"",
""features"": [
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-84.247155, 30.438056]},
""properties"": {
""parsePattern"" : ""Distance East of TALLAHASSEE"",
""precision"" : ""High"",
""score"" : 86,
""uncertaintyRadiusMeters"" : 20330,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 2,
""displacedHeadingDegrees"" : 90,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=LEON|:orig_d=2 MI|:NPExtent=29301|:NP=TALLAHASSEE|:KFID=FL:ppl:4006|TALLAHASSEE""
}
}
 ],
""crs"": { ""type"" : ""EPSG"", ""properties"" : { ""code"" : 4326 }}
}
}
",30.438056,-84.247155,Leon,Florida,United States of America,,,,,,,,,,,,,,,,,,,,,Ammodramus,savannarum
4,768cdd0d-93bc-4c74-9dcd-d1ed48b7501e,7020,11,21,1982,63.0,f24f2db6-eadd-4de9-9d2f-95aea376c013,24,13.0,72.0,AH,Ammospermophilis harrisi,Muscogee-Rerdido [Perdido] River.,"{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 2,
""executionTimems"" : 187.2004,
""resultSet"" : { ""type"": ""FeatureCollection"",
""features"": [
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-87.38167, 30.44972]},
""properties"": {
""parsePattern"" : ""PERDIDO RIVER"",
""precision"" : ""Low"",
""score"" : 43,
""uncertaintyRadiusMeters"" : 210,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=ESCAMBIA|:NPExtent=350|:NP=PERDIDO RIVER|:KFID=|PERDIDO RIVER""
}
},
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-87.39667, 30.60556]},
""properties"": {
""parsePattern"" : ""MUSCOGEE"",
""precision"" : ""Low"",
""score"" : 38,
""uncertaintyRadiusMeters"" : 3036,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=ESCAMBIA|:NPExtent=5040|:NP=MUSCOGEE|:KFID=|MUSCOGEE""
}
}
 ],
""crs"": { ""type"" : ""EPSG"", ""properties"" : { ""code"" : 4326 }}
}
}
",30.44972,-87.38167,Escambia,Florida,United States of America,,,,,,,,,,,,,,,,,,,,,Ammospermophilis,harrisi
5,13851c71-013d-4989-bd49-7d7a65af7709,7645,4,16,1983,67.0,f24f2db6-eadd-4de9-9d2f-95aea376c013,24,13.0,21.0,AH,Ammospermophilus harrisi,near Lake Lindsey.,"{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 3,
""executionTimems"" : 156.0003,
""resultSet"" : { ""type"": ""FeatureCollection"",
""features"": [
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-82.35944, 28.63444]},
""properties"": {
""parsePattern"" : ""Near LAKE LINDSEY"",
""precision"" : ""Medium"",
""score"" : 57,
""uncertaintyRadiusMeters"" : 3036,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=HERNANDO|:NPExtent=5040|:NP=LAKE LINDSEY|:KFID=|LAKE LINDSEY""
}
},
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-82.36194, 28.63417]},
""properties"": {
""parsePattern"" : ""Near LAKE LINDSEY"",
""precision"" : ""Medium"",
""score"" : 57,
""uncertaintyRadiusMeters"" : 240,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=HERNANDO|:NPExtent=400|:NP=LAKE LINDSEY|:KFID=FL:ppl:3654|LAKE LINDSEY""
}
},
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-82.36583, 28.63028]},
""properties"": {
""parsePattern"" : ""Near LAKE LINDSEY"",
""precision"" : ""Medium"",
""score"" : 57,
""uncertaintyRadiusMeters"" : 587,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=HERNANDO|:NPExtent=975|:NP=LAKE LINDSEY|:KFID=|LAKE LINDSEY""
}
}
 ],
""crs"": { ""type"" : ""EPSG"", ""properties"" : { ""code"" : 4326 }}
}
}
",28.63444,-82.35944,Hernando,Florida,United States of America,,,,,,,,,,,,,,,,,,,,,Ammospermophilus,harrisi
6,c10df07b-ca12-450f-8240-94e146dea1d1,8641,11,13,1983,74.0,6a090985-a7ce-4c04-b146-9b401d1dd796,15,13.0,25.0,AH,Ammospermophilus harrisi,road to St. Mark's lighthouse; St. Mark's Wildlife Refuge.,"{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 0,
""executionTimems"" : 156.0003
}
",,,Wakulla,Florida,United States of America,,,,,,,,,,,,,,,,,,,,,Ammospermophilus,harrisi
7,1bd57490-6747-4949-8f98-ad6faced7341,9495,8,26,1984,82.0,aab65971-f64b-425e-9a78-17d7ec63423c,9,13.0,21.0,AH,Ammospermophilus harrisi,3.5 miles north of Allicance Cross Road on Fla. Rt. 71.,"{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 0,
""executionTimems"" : 171.6003
}
",,,Jackson,Florida,United States of America,,,,,,,,,,,,,,,,,,,,,Ammospermophilus,harrisi
8,723e792b-9f69-4d7a-84c6-d1c1ee66ea63,9583,9,30,1984,83.0,6a090985-a7ce-4c04-b146-9b401d1dd796,15,13.0,37.0,AH,Ammospermophilus harrisi,"St. Vincent Island, wet swale",,,,,,UNITED STATES,,,,,,,,,,,,,,,,,,,,,Ammospermophilus,harrisi
9,b7202dd9-332a-41f0-a975-56c55f803164,9862,1,20,1985,86.0,4dc16022-f28d-4b9d-9062-c7bc3ad43362,13,13.0,11.0,AH,Ammospermophilus harrisi,"Eagle Mountain Trailhead, Clearwater National Forest","{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 2,
""executionTimems"" : 202.8004,
""resultSet"" : { ""type"": ""FeatureCollection"",
""features"": [
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-115.11639, 46.33778]},
""properties"": {
""parsePattern"" : ""EAGLE MOUNTAIN"",
""precision"" : ""Low"",
""score"" : 44,
""uncertaintyRadiusMeters"" : 1807,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=IDAHO|:NPExtent=3000|:NP=EAGLE MOUNTAIN|:KFID=|EAGLE MOUNTAIN""
}
},
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-115.89, 46.0225]},
""properties"": {
""parsePattern"" : ""CLEARWATER"",
""precision"" : ""Low"",
""score"" : 40,
""uncertaintyRadiusMeters"" : 3036,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=IDAHO|:NPExtent=5040|:NP=CLEARWATER|:KFID=|CLEARWATER""
}
}
 ],
""crs"": { ""type"" : ""EPSG"", ""properties"" : { ""code"" : 4326 }}
}
}
",46.33778,-115.11639,Idaho,Idaho,UNITED STATES,,,,,,,,,,,,,,,,,,,,,Ammospermophilus,harrisi
10,f370c673-b226-4734-96c2-a89a58e309a6,9882,1,20,1985,86.0,6a090985-a7ce-4c04-b146-9b401d1dd796,15,13.0,31.0,AH,Ammospermophilus harrisi,"Eagle Mountain Trailhead, Clearwater National Forest","{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 2,
""executionTimems"" : 202.8004,
""resultSet"" : { ""type"": ""FeatureCollection"",
""features"": [
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-115.11639, 46.33778]},
""properties"": {
""parsePattern"" : ""EAGLE MOUNTAIN"",
""precision"" : ""Low"",
""score"" : 44,
""uncertaintyRadiusMeters"" : 1807,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=IDAHO|:NPExtent=3000|:NP=EAGLE MOUNTAIN|:KFID=|EAGLE MOUNTAIN""
}
},
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-115.89, 46.0225]},
""properties"": {
""parsePattern"" : ""CLEARWATER"",
""precision"" : ""Low"",
""score"" : 40,
""uncertaintyRadiusMeters"" : 3036,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=IDAHO|:NPExtent=5040|:NP=CLEARWATER|:KFID=|CLEARWATER""
}
}
 ],
""crs"": { ""type"" : ""EPSG"", ""properties"" : { ""code"" : 4326 }}
}
}
",46.33778,-115.11639,Idaho,Idaho,UNITED STATES,,,,,,,,,,,,,,,,,,,,,Ammospermophilus,harrisi
11,61011f88-8894-44db-954f-f95367f0ee0c,9891,1,20,1985,86.0,b7eb122e-a7c4-4982-97a0-fa67e45e6faf,1,13.0,43.0,AH,Ammospermophilus harrisi,"Split Creek Trail, Nez Perce National Forest","{
""engineVersion"" : ""GLC:4.94|U:1.01374|eng:1.0"",
""numResults"" : 2,
""executionTimems"" : 202.8003,
""resultSet"" : { ""type"": ""FeatureCollection"",
""features"": [
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-115.91667, 45.45]},
""properties"": {
""parsePattern"" : ""NEZ PERCE NATIONAL FOREST"",
""precision"" : ""Low"",
""score"" : 55,
""uncertaintyRadiusMeters"" : 1189,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=IDAHO|:NPExtent=1975|:NP=NEZ PERCE NATIONAL FOREST|:KFID=|NEZ PERCE NATIONAL FOREST""
}
},
{ ""type"": ""Feature"",
""geometry"": {""type"": ""Point"", ""coordinates"": [-115.4075, 46.23278]},
""properties"": {
""parsePattern"" : ""SPLIT CREEK"",
""precision"" : ""Low"",
""score"" : 41,
""uncertaintyRadiusMeters"" : 210,
""uncertaintyPolygon"" : ""Unavailable"",
""displacedDistanceMiles"" : 0,
""displacedHeadingDegrees"" : 0,
""debug"" : "":GazPartMatch=False|:inAdm=True|:Adm=IDAHO|:NPExtent=350|:NP=SPLIT CREEK|:KFID=|SPLIT CREEK""
}
}
 ],
""crs"": { ""type"" : ""EPSG"", ""properties"" : { ""code"" : 4326 }}
}
}
",45.45,-115.91667,Idaho,Idaho,UNITED STATES,,,,,,,,,,,,,,,,,,,,,Ammospermophilus,harrisi
