rank1,total_bill,tip,sex,smoker,day,time,size,rank2
2,16.99,1.01,Female,No,Sun,Dinner,2,16
10,10.34,1.66,Male,No,Sun,Dinner,3,16
2,21.01,3.5,Male,No,Sun,Dinner,3,17
1,23.68,3.31,Male,No,Sun,Dinner,2,19
4,24.59,3.61,Female,No,Sun,Dinner,4,19
9,25.29,4.71,Male,No,Sun,Dinner,4,13
4,8.77,2,Male,No,Sun,Dinner,2,16
4,26.88,3.12,Male,No,Sun,Dinner,4,15
10,15.04,1.96,Male,No,Sun,Dinner,2,16
1,,3.23,Male,No,Sun,Dinner,2,10
7,,1.71,Male,No,Sun,Dinner,2,15
10,,5,Female,No,Sun,Dinner,4,19
4,15.42,1.57,Male,No,Sun,Dinner,2,15
3,18.43,3,Male,No,Sun,Dinner,4,17
3,14.83,3.02,Female,No,Sun,Dinner,2,18
1,21.58,3.92,Male,No,Sun,Dinner,2,10
10,10.33,1.67,Female,No,Sun,Dinner,3,18
10,16.29,3.71,Male,No,Sun,Dinner,3,20
1,16.97,3.5,Female,No,Sun,Dinner,3,13
6,20.65,3.35,Male,No,Sat,Dinner,3,18
8,17.92,4.08,Male,No,Sat,Dinner,2,10
7,20.29,2.75,Female,No,Sat,Dinner,2,10
9,15.77,2.23,Female,No,Sat,Dinner,2,20
6,39.42,7.58,Male,No,Sat,Dinner,4,10
1,19.82,3.18,Male,No,Sat,Dinner,2,16
5,17.81,,Male,No,Sat,Dinner,4,19
5,13.37,2,Male,No,Sat,Dinner,2,12
8,12.69,2,Male,No,Sat,Dinner,2,15
7,21.7,4.3,Male,No,Sat,Dinner,2,14
7,19.65,3,Female,No,Sat,Dinner,2,20
6,9.55,1.45,Male,No,Sat,Dinner,2,13
9,18.35,2.5,Male,No,Sat,Dinner,4,20
2,15.06,3,Female,No,Sat,Dinner,2,11
10,20.69,2.45,Female,No,Sat,Dinner,4,10
2,17.78,3.27,Male,No,Sat,Dinner,2,15
7,24.06,3.6,Male,No,Sat,Dinner,3,10
8,16.31,2,Male,No,Sat,Dinner,3,13
3,16.93,3.07,Female,No,Sat,Dinner,3,15
7,18.69,2.31,Male,No,Sat,Dinner,3,10
3,31.27,5,Male,No,Sat,Dinner,3,18
9,16.04,2.24,Male,No,Sat,Dinner,3,13
1,17.46,2.54,Male,No,Sun,Dinner,2,18
1,13.94,3.06,Male,No,Sun,Dinner,2,13
6,9.68,1.32,Male,No,Sun,Dinner,2,10
5,30.4,5.6,Male,No,Sun,Dinner,4,19
2,18.29,3,Male,No,Sun,Dinner,2,18
8,22.23,5,Male,No,Sun,Dinner,2,18
7,32.4,6,Male,No,Sun,Dinner,4,14
9,28.55,2.05,Male,No,Sun,Dinner,3,13
2,18.04,3,Male,No,Sun,Dinner,2,19
8,12.54,2.5,Male,No,Sun,Dinner,2,19
9,10.29,2.6,Female,No,Sun,Dinner,2,20
6,34.81,5.2,Female,No,Sun,Dinner,4,12
7,9.94,1.56,Male,No,Sun,Dinner,2,17
8,25.56,4.34,Male,No,Sun,Dinner,4,16
2,19.49,3.51,Male,No,Sun,Dinner,2,13
4,38.01,3,Male,Yes,Sat,Dinner,4,12
7,26.41,1.5,Female,No,Sat,Dinner,2,17
6,11.24,1.76,Male,Yes,Sat,Dinner,2,10
2,48.27,6.73,Male,No,Sat,Dinner,4,10
7,20.29,3.21,Male,Yes,Sat,Dinner,2,17
5,13.81,2,Male,Yes,Sat,Dinner,2,11
7,11.02,1.98,Male,Yes,Sat,Dinner,2,19
7,18.29,3.76,Male,Yes,Sat,Dinner,4,10
8,17.59,2.64,Male,No,Sat,Dinner,3,17
1,20.08,3.15,Male,No,Sat,Dinner,3,14
3,16.45,2.47,Female,No,Sat,Dinner,2,14
4,3.07,1,Female,Yes,Sat,Dinner,1,13
1,20.23,2.01,Male,No,Sat,Dinner,2,11
1,15.01,2.09,Male,Yes,Sat,Dinner,2,17
8,12.02,1.97,Male,No,Sat,Dinner,2,20
7,17.07,3,Female,No,Sat,Dinner,3,12
4,26.86,3.14,Female,Yes,Sat,Dinner,2,14
3,25.28,5,Female,Yes,Sat,Dinner,2,10
6,14.73,2.2,Female,No,Sat,Dinner,2,11
6,10.51,1.25,Male,No,Sat,Dinner,2,13
2,17.92,3.08,Male,Yes,Sat,Dinner,2,20
5,27.2,4,Male,No,Thur,Lunch,4,11
9,22.76,3,Male,No,Thur,Lunch,2,13
6,17.29,2.71,Male,No,Thur,Lunch,2,20
5,19.44,3,Male,Yes,Thur,Lunch,2,12
6,16.66,3.4,Male,No,Thur,Lunch,2,13
1,10.07,1.83,Female,No,Thur,Lunch,1,16
6,32.68,5,Male,Yes,Thur,Lunch,2,11
7,15.98,2.03,Male,No,Thur,Lunch,2,18
4,34.83,5.17,Female,No,Thur,Lunch,4,15
7,13.03,2,Male,No,Thur,Lunch,2,12
5,18.28,4,Male,No,Thur,Lunch,2,14
2,24.71,5.85,Male,No,Thur,Lunch,2,12
6,21.16,3,Male,No,Thur,Lunch,2,19
9,28.97,3,Male,Yes,Fri,Dinner,2,18
9,22.49,3.5,Male,No,Fri,Dinner,2,17
8,5.75,1,Female,Yes,Fri,Dinner,2,12
6,16.32,4.3,Female,Yes,Fri,Dinner,2,17
5,22.75,3.25,Female,No,Fri,Dinner,2,17
8,40.17,4.73,Male,Yes,Fri,Dinner,4,10
4,27.28,4,Male,Yes,Fri,Dinner,2,17
2,12.03,1.5,Male,Yes,Fri,Dinner,2,20
6,21.01,3,Male,Yes,Fri,Dinner,2,12
7,12.46,1.5,Male,No,Fri,Dinner,2,16
6,11.35,2.5,Female,Yes,Fri,Dinner,2,19
7,15.38,3,Female,Yes,Fri,Dinner,2,12
5,44.3,2.5,Female,Yes,Sat,Dinner,3,11
7,22.42,3.48,Female,Yes,Sat,Dinner,2,14
10,20.92,4.08,Female,No,Sat,Dinner,2,14
6,15.36,1.64,Male,Yes,Sat,Dinner,2,11
1,20.49,4.06,Male,Yes,Sat,Dinner,2,20
7,25.21,4.29,Male,Yes,Sat,Dinner,2,12
1,18.24,3.76,Male,No,Sat,Dinner,2,20
2,14.31,4,Female,Yes,Sat,Dinner,2,16
4,14,3,Male,No,Sat,Dinner,2,13
8,7.25,1,Female,No,Sat,Dinner,1,15
9,38.07,4,Male,No,Sun,Dinner,3,10
