weightclass,Weight In Kg,Average Submissions Attempted Per 15 Minutes,Average Takedowns Landed Per 15 Minutes,Date Of Birth,Draws,Height Cm,Losses,Name,Nickname,Reach In Cm,Significant Strike Defence,Significant Strikes Absorbed Per Minute,Significant Strikes Landed Per Minute,Significant Striking Accuracy,Stance,Takedown Accuracy,Takedown Defense,Wins
Light Heavyweight (84.0–93.0 kg),92.99,21.9,7.32,10/5/1981,0,190.5,0,Robert Drysdale,,,0,0,0,0,Orthodox,100,0,7
Light Heavyweight (84.0–93.0 kg),83.91,20.4,10.23,9/29/1994,0,190.5,2,Collin Huckbody,"""All In""",193.04,42,2.73,2.05,60,Orthodox,100,0,8
Welterweight (70.4–77.1 kg),70.31,16.4,0,3/1/1979,0,175.26,7,Gerald Strebendt,,,38,4,0,0,Orthodox,0,0,9
Heavyweight (>=93.1 kg),120.2,14.3,0,1/18/1971,1,198.12,8,Neil Grove,"""Goliath""",,0,0,0,0,Orthodox,0,100,12
Light Heavyweight (84.0–93.0 kg),83.91,13.8,11.04,1/14/1996,0,185.42,0,Bo Nickal,,193.04,75,0.55,2.76,62,Southpaw,50,0,5
Featherweight (61.3–65.8 kg),61.23,12.1,0,11/19/1986,0,165.1,3,Ian Entwistle,"""Enty""",,31,7.36,0.11,7,Orthodox,0,0,9
Featherweight (61.3–65.8 kg),65.77,10.3,0,1/24/1989,0,185.42,8,Westin Wilson,,185.42,26,7.59,1.38,50,Southpaw,0,0,16
Middleweight (77.2–83.9 kg),77.11,9.3,0,5/19/1997,0,185.42,1,Justin Burlinson,,187.96,61,3.09,1.24,40,Switch,0,100,6
Light Heavyweight (84.0–93.0 kg),92.99,8.5,0,12/11/1966,0,187.96,2,Jeff Newton,"""The Karate Kid""",,52,1.41,0.28,20,Sideways,0,0,4
Light Heavyweight (84.0–93.0 kg),92.99,8.3,0,2/15/1991,0,187.96,7,Emiliano Sordi,"""He-Man""",,48,4.79,4.79,50,Orthodox,0,100,16
Middleweight (77.2–83.9 kg),77.11,7.6,0,10/30/1979,0,175.26,5,Ansar Chalangov,,,54,1.69,0.68,66,Orthodox,0,0,14
Welterweight (70.4–77.1 kg),70.31,7.4,0.53,8/4/1988,0,182.88,2,Paul Sass,,185.42,51,1.9,0.53,26,Orthodox,16,33,14
Light Heavyweight (84.0–93.0 kg),92.99,7,13.95,9/22/1973,0,180.34,3,James Lee,,,27,3.72,1.4,42,Southpaw,50,0,15
Middleweight (77.2–83.9 kg),77.11,6.9,6.92,7/20/1979,2,175.26,11,Kyle Jensen,,,60,0.92,0,0,Orthodox,100,0,4
Welterweight (70.4–77.1 kg),70.31,6.3,3.16,8/12/2001,0,170.18,2,Jinnosuke Kashimura,,180.34,25,7.37,0.21,50,Southpaw,100,0,4
Welterweight (70.4–77.1 kg),70.31,6.2,0.48,7/15/1972,1,172.72,4,Jason Black,,,45,2.6,1.06,47,Orthodox,33,28,23
Featherweight (61.3–65.8 kg),61.23,6.1,0,10/13/1986,0,172.72,5,John Albert,"""Prince""",172.72,35,2.82,3.05,49,Orthodox,0,50,6
Featherweight (61.3–65.8 kg),65.77,6,0,1/30/1991,1,175.26,10,Daniel Swain,,177.8,40,3.2,0.8,44,Orthodox,0,0,20
